ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Collections,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Seller,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: condition
,,300013,,Striped Body suit ชุดบอดี้สูทขาสั้นลายทาง,,,,,,,,,,1,1,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300012,,Star &amp; Mickey Pants กางเกงขายาว ลายดวงดาวและมิกกี้เมาส์,,,,,,,,,,1,1,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300011,,Hero Unit Pants กางเกงขายาว ลายHero Unit,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300010,,Car Matching Tops &amp; Bottoms เซตเสื้อและกางเกงลายรถ,,,,,,,,,,1,1,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300009,,Striped Matching Body suits &amp; Bottoms เซตบอดี้สูทและกางเกงลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300008,,Striped Pants กางเกงขายาว ลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300007,,Black Pants กางเกงขายาว สีดำ,,,,,,,,,,1,1,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300006,,Striped Pants กางเกงขายาว ลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300005,,Striped Pants 2pieces กางเกงขายาว,,,,,,,,,,1,1,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300003,,Set Pants 3pieces เซตกางเกงขายาว 3ชิ้น,,,,,,,,,,1,1,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100071,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีแดง,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100070,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีน้ำเงิน,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100069,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีเหลือง,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100068,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีฟ้า,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100067,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีแดง,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100066,,BearT-shirt เสื้อยืดคอกลมลายหมี,,,,,,,,,,1,1,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100065,,5P STAR TRUNKS กางเกงชั้นใน 5 ชิ้น,,,,,,,,,,1,1,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100064,,Port Swimsuit ชุดว่ายน้ำลายสมอเรือ,,,,,,,,,,1,1,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100063,,Bow Bodysuit ชุดบอดี้สูทขาสั้นลายโบว์,,,,,,,,,,1,1,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100062,,Brown Corduroy Pants กางเกงขายาว สีน้ำตาล,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100060,,Whale Swim Trunks กางเกงว่ายน้ำขาสั้นลายวาฬ,,,,,,,,,,1,1,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100059,,Black Pants กางเกงขายาว สีดำ,,,,,,,,,,1,1,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100058,,Blue Pants กางเกงขาสั้น สีฟ้า,,,,,,,,,,1,1,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100057,,Orange Pants กางเกงขายาว สีส้ม,,,,,,,,,,1,1,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100056,,Blue Pants กางเกงขาสั้น สีกรม,,,,,,,,,,1,1,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100055,,Blue Pants กางเกงขายาว สีน้ำเงิน,,,,,,,,,,1,1,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100052,,Converse All Star for kids รองเท้าลำลองเด็ก,,,,,,,,,,1,1,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100050,,Nike Cortes Baby รองเท้าลำลองเด็ก,,,,,,,,,,1,1,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
